"source","target","type","properties"
"99","203","studies","{""id"":696,""type"":""studies"",""start"":99,""end"":203,""properties"":{}}"
"99","151","studies","{""id"":695,""type"":""studies"",""start"":99,""end"":151,""properties"":{}}"
"99","415","founded_by","{""id"":698,""type"":""founded_by"",""start"":99,""end"":415,""properties"":{}}"
"99","97","founded_by","{""id"":697,""type"":""founded_by"",""start"":99,""end"":97,""properties"":{}}"
"99","1","follows","{""id"":693,""type"":""follows"",""start"":99,""end"":1,""properties"":{}}"
"99","467","studies","{""id"":689,""type"":""studies"",""start"":99,""end"":467,""properties"":{}}"
"99","72","also_known_as","{""id"":694,""type"":""also_known_as"",""start"":99,""end"":72,""properties"":{}}"
"102","104","has_part","{""id"":700,""type"":""has_part"",""start"":102,""end"":104,""properties"":{""notes"":""""}}"
"102","103","field_of_work","{""id"":699,""type"":""field_of_work"",""start"":102,""end"":103,""properties"":{""notes"":""""}}"
"102","106","has_part","{""id"":701,""type"":""has_part"",""start"":102,""end"":106,""properties"":{""notes"":""""}}"
"104","105","part_of","{""id"":703,""type"":""part_of"",""start"":104,""end"":105,""properties"":{""notes"":""""}}"
"104","102","part_of","{""id"":702,""type"":""part_of"",""start"":104,""end"":102,""properties"":{""notes"":""""}}"
"106","102","part_of","{""id"":704,""type"":""part_of"",""start"":106,""end"":102,""properties"":{""notes"":""""}}"
"107","115","founded_by","{""id"":709,""type"":""founded_by"",""start"":107,""end"":115,""properties"":{}}"
"107","420","has_part","{""id"":706,""type"":""has_part"",""start"":107,""end"":420,""properties"":{}}"
"107","417","author","{""id"":705,""type"":""author"",""start"":107,""end"":417,""properties"":{}}"
"107","449","follows","{""id"":708,""type"":""follows"",""start"":107,""end"":449,""properties"":{}}"
"113","123","employer","{""id"":218,""type"":""employer"",""start"":113,""end"":123,""properties"":{}}"
"114","50","follows","{""id"":64,""type"":""follows"",""start"":114,""end"":50,""properties"":{}}"
"114","405","follows","{""id"":68,""type"":""follows"",""start"":114,""end"":405,""properties"":{}}"
"114","34","subsidiary","{""id"":714,""type"":""subsidiary"",""start"":114,""end"":34,""properties"":{}}"
"115","449","employer","{""id"":288,""type"":""employer"",""start"":115,""end"":449,""properties"":{}}"
"115","261","author","{""id"":285,""type"":""author"",""start"":115,""end"":261,""properties"":{}}"
"115","256","has_part","{""id"":278,""type"":""has_part"",""start"":115,""end"":256,""properties"":{}}"
"115","124","employer","{""id"":219,""type"":""employer"",""start"":115,""end"":124,""properties"":{}}"
"115","263","author","{""id"":140,""type"":""author"",""start"":115,""end"":263,""properties"":{}}"
"115","210","has_part","{""id"":722,""type"":""has_part"",""start"":115,""end"":210,""properties"":{}}"
"115","492","collaborated_with","{""id"":715,""type"":""collaborated_with"",""start"":115,""end"":492,""properties"":{}}"
"115","32","collaborated_with","{""id"":719,""type"":""collaborated_with"",""start"":115,""end"":32,""properties"":{}}"
"115","31","has_part","{""id"":720,""type"":""has_part"",""start"":115,""end"":31,""properties"":{}}"
"115","451","developer","{""id"":724,""type"":""developer"",""start"":115,""end"":451,""properties"":{}}"
"115","81","member_of","{""id"":723,""type"":""member_of"",""start"":115,""end"":81,""properties"":{}}"
"115","99","member_of","{""id"":718,""type"":""member_of"",""start"":115,""end"":99,""properties"":{}}"
"115","114","has_part","{""id"":725,""type"":""has_part"",""start"":115,""end"":114,""properties"":{}}"
"115","410","member_of","{""id"":717,""type"":""member_of"",""start"":115,""end"":410,""properties"":{}}"
"115","467","field_of_work","{""id"":721,""type"":""field_of_work"",""start"":115,""end"":467,""properties"":{}}"
"116","117","main_subject","{""id"":728,""type"":""main_subject"",""start"":116,""end"":117,""properties"":{""notes"":""""}}"
"116","28","point_in_time","{""id"":726,""type"":""point_in_time"",""start"":116,""end"":28,""properties"":{""notes"":""""}}"
"118","20","founded_by","{""id"":729,""type"":""founded_by"",""start"":118,""end"":20,""properties"":{""notes"":""""}}"
"121","462","subsidiary","{""id"":731,""type"":""subsidiary"",""start"":121,""end"":462,""properties"":{}}"
"122","72","has_part","{""id"":732,""type"":""has_part"",""start"":122,""end"":72,""properties"":{}}"
"123","506","field_of_work","{""id"":86,""type"":""field_of_work"",""start"":123,""end"":506,""properties"":{}}"
"123","504","field_of_work","{""id"":85,""type"":""field_of_work"",""start"":123,""end"":504,""properties"":{}}"
"124","143","has_part","{""id"":60,""type"":""has_part"",""start"":124,""end"":143,""properties"":{}}"
"124","410","subsidiary","{""id"":735,""type"":""subsidiary"",""start"":124,""end"":410,""properties"":{}}"
"124","467","field_of_work","{""id"":733,""type"":""field_of_work"",""start"":124,""end"":467,""properties"":{}}"
"125","126","located_in","{""id"":736,""type"":""located_in"",""start"":125,""end"":126,""properties"":{""notes"":""""}}"
"133","148","position_held","{""id"":270,""type"":""position_held"",""start"":133,""end"":148,""properties"":{}}"
"133","132","author","{""id"":156,""type"":""author"",""start"":133,""end"":132,""properties"":{}}"
"133","185","author","{""id"":160,""type"":""author"",""start"":133,""end"":185,""properties"":{}}"
"133","157","author","{""id"":158,""type"":""author"",""start"":133,""end"":157,""properties"":{}}"
"133","169","author","{""id"":159,""type"":""author"",""start"":133,""end"":169,""properties"":{}}"
"133","227","author","{""id"":745,""type"":""author"",""start"":133,""end"":227,""properties"":{}}"
"137","306","located_in","{""id"":747,""type"":""located_in"",""start"":137,""end"":306,""properties"":{""notes"":""""}}"
"137","68","located_in","{""id"":748,""type"":""located_in"",""start"":137,""end"":68,""properties"":{""notes"":""""}}"
"138","307","developer","{""id"":750,""type"":""developer"",""start"":138,""end"":307,""properties"":{}}"
"138","253","studies","{""id"":752,""type"":""studies"",""start"":138,""end"":253,""properties"":{}}"
"138","319","subsidiary","{""id"":754,""type"":""subsidiary"",""start"":138,""end"":319,""properties"":{}}"
"138","252","developer","{""id"":749,""type"":""developer"",""start"":138,""end"":252,""properties"":{}}"
"138","68","located_in","{""id"":753,""type"":""located_in"",""start"":138,""end"":68,""properties"":{}}"
"142","194","instance_of","{""id"":21,""type"":""instance_of"",""start"":142,""end"":194,""properties"":{}}"
"143","467","main_subject","{""id"":61,""type"":""main_subject"",""start"":143,""end"":467,""properties"":{}}"
"143","480","developer","{""id"":57,""type"":""developer"",""start"":143,""end"":480,""properties"":{}}"
"143","114","facet_of","{""id"":54,""type"":""facet_of"",""start"":143,""end"":114,""properties"":{}}"
"143","404","developer","{""id"":53,""type"":""developer"",""start"":143,""end"":404,""properties"":{}}"
"145","63","studies","{""id"":38,""type"":""studies"",""start"":145,""end"":63,""properties"":{}}"
"150","299","employer","{""id"":220,""type"":""employer"",""start"":150,""end"":299,""properties"":{}}"
"150","161","member_of","{""id"":104,""type"":""member_of"",""start"":150,""end"":161,""properties"":{}}"
"151","71","employer","{""id"":222,""type"":""employer"",""start"":151,""end"":71,""properties"":{}}"
"151","112","employer","{""id"":221,""type"":""employer"",""start"":151,""end"":112,""properties"":{}}"
"151","36","member_of","{""id"":95,""type"":""member_of"",""start"":151,""end"":36,""properties"":{}}"
"151","36","has_part","{""id"":114,""type"":""has_part"",""start"":151,""end"":36,""properties"":{}}"
"151","87","position_held","{""id"":77,""type"":""position_held"",""start"":151,""end"":87,""properties"":{""end_date"":""1981"",""start_date"":""1977""}}"
"151","63","studies","{""id"":39,""type"":""studies"",""start"":151,""end"":63,""properties"":{}}"
"151","12","collaborated_with","{""id"":761,""type"":""collaborated_with"",""start"":151,""end"":12,""properties"":{}}"
"151","37","conflict","{""id"":759,""type"":""conflict"",""start"":151,""end"":37,""properties"":{""notes"":""Since the recorded phone call, Ineman tries to  discredit Bob""}}"
"151","34","member_of","{""id"":757,""type"":""member_of"",""start"":151,""end"":34,""properties"":{}}"
"151","57","collaborated_with","{""id"":760,""type"":""collaborated_with"",""start"":151,""end"":57,""properties"":{}}"
"153","62","employer","{""id"":223,""type"":""employer"",""start"":153,""end"":62,""properties"":{}}"
"154","501","participant","{""id"":765,""type"":""participant"",""start"":154,""end"":501,""properties"":{""notes"":""""}}"
"155","417","instance_of","{""id"":284,""type"":""instance_of"",""start"":155,""end"":417,""properties"":{}}"
"156","204","facet_of","{""id"":767,""type"":""facet_of"",""start"":156,""end"":204,""properties"":{}}"
"162","182","located_in","{""id"":773,""type"":""located_in"",""start"":162,""end"":182,""properties"":{}}"
"162","302","instance_of","{""id"":772,""type"":""instance_of"",""start"":162,""end"":302,""properties"":{}}"
"163","296","author","{""id"":774,""type"":""author"",""start"":163,""end"":296,""properties"":{}}"
"164","156","has_part","{""id"":775,""type"":""has_part"",""start"":164,""end"":156,""properties"":{}}"
"170","289","position_held","{""id"":266,""type"":""position_held"",""start"":170,""end"":289,""properties"":{}}"
"170","207","employer","{""id"":224,""type"":""employer"",""start"":170,""end"":207,""properties"":{}}"
"170","171","employer","{""id"":228,""type"":""employer"",""start"":170,""end"":171,""properties"":{}}"
"170","462","employer","{""id"":225,""type"":""employer"",""start"":170,""end"":462,""properties"":{}}"
"170","190","employer","{""id"":226,""type"":""employer"",""start"":170,""end"":190,""properties"":{}}"
"170","34","employer","{""id"":227,""type"":""employer"",""start"":170,""end"":34,""properties"":{}}"
"170","75","collaborated_with","{""id"":115,""type"":""collaborated_with"",""start"":170,""end"":75,""properties"":{}}"
"172","173","point_in_time","{""id"":273,""type"":""point_in_time"",""start"":172,""end"":173,""properties"":{}}"
"172","407","located_in","{""id"":779,""type"":""located_in"",""start"":172,""end"":407,""properties"":{}}"
"175","188","founded_by","{""id"":1,""type"":""founded_by"",""start"":175,""end"":188,""properties"":{}}"
"176","177","located_in","{""id"":13,""type"":""located_in"",""start"":176,""end"":177,""properties"":{}}"
"178","177","located_in","{""id"":14,""type"":""located_in"",""start"":178,""end"":177,""properties"":{}}"
"179","177","located_in","{""id"":15,""type"":""located_in"",""start"":179,""end"":177,""properties"":{}}"
"181","156","has_part","{""id"":787,""type"":""has_part"",""start"":181,""end"":156,""properties"":{}}"
"183","244","member_of","{""id"":154,""type"":""member_of"",""start"":183,""end"":244,""properties"":{}}"
"183","2","founded_by","{""id"":153,""type"":""founded_by"",""start"":183,""end"":2,""properties"":{}}"
"184","188","instance_of","{""id"":789,""type"":""instance_of"",""start"":184,""end"":188,""properties"":{}}"
"187","99","has_part","{""id"":25,""type"":""has_part"",""start"":187,""end"":99,""properties"":{""notes"":""He states he only went to the first meeting. http://stargate007.blogspot.com/2007/05/cias-ron-pandolfi-on-ufo-working-group.html""}}"
"187","188","employer","{""id"":230,""type"":""employer"",""start"":187,""end"":188,""properties"":{}}"
"187","281","employer","{""id"":229,""type"":""employer"",""start"":187,""end"":281,""properties"":{}}"
"187","283","has_part","{""id"":149,""type"":""has_part"",""start"":187,""end"":283,""properties"":{}}"
"187","280","field_of_work","{""id"":146,""type"":""field_of_work"",""start"":187,""end"":280,""properties"":{}}"
"187","270","collaborated_with","{""id"":143,""type"":""collaborated_with"",""start"":187,""end"":270,""properties"":{""notes"":""September 2000""}}"
"187","269","member_of","{""id"":142,""type"":""member_of"",""start"":187,""end"":269,""properties"":{""notes"":""in this file https://web.archive.org/web/20101128134606/http://www.starpod.org/MP3/RON%20PANDOLFI.mp3\n\nhe said he was in first meeting then left.""}}"
"187","268","field_of_work","{""id"":141,""type"":""field_of_work"",""start"":187,""end"":268,""properties"":{""notes"":""https://www.washingtonpost.com/wp-srv/politics/special/campfin/stories/satellite120598.htm""}}"
"187","184","position_held","{""id"":792,""type"":""position_held"",""start"":187,""end"":184,""properties"":{}}"
